year of experience,salary
1.2391823476777104,52478.36469535542
13.425406478086252,76850.8129561725
12.811852594471125,75623.70518894226
7.162557746573588,64325.115493147176
10.168967064906436,70337.93412981287
15.704892348774694,81409.78469754939
14.693146170431117,79386.29234086223
18.453829268361876,86907.65853672376
2.5469427457517555,55093.88549150351
10.381610024695707,70763.22004939141
3.1463262772725145,56292.65255454503
17.91143669300452,85822.87338600904
17.437214175200456,84874.4283504009
1.7217476718419835,53443.495343683964
13.363164995714182,76726.32999142836
5.505688471728655,61011.37694345731
11.387824954571533,72775.64990914307
7.855074307431776,65710.14861486354
11.034008739848273,72068.01747969654
4.176822506052152,58353.6450121043
5.5297079662735,61059.415932546995
10.250450516630112,70500.90103326022
13.454012495718338,76908.02499143667
11.115849903962973,72231.69980792595
9.483976955907922,68967.95391181584
2.1218399437134745,54243.67988742695
16.11306547156012,82226.13094312024
3.6796440543880893,57359.28810877618
17.689541749548834,85379.08349909767
11.925920203840157,73851.84040768031
7.883129114006474,65766.25822801294
11.708483350028233,73416.96670005647
19.952074895972203,89904.14979194441
4.618192932180755,59236.38586436151
17.718044955076284,85436.08991015257
10.598418936360211,71196.83787272043
17.445027896174157,84890.05579234831
15.72915008028603,81458.30016057205
18.4402300665966,86880.4601331932
16.570547429601163,83141.09485920233
5.106450000598709,60212.90000119742
7.887655779635599,65775.3115592712
8.420483685515668,66840.96737103134
13.867238804866421,77734.47760973284
9.163029489519863,68326.05897903972
17.499007727575506,84998.015455151
18.048059439003215,86096.11887800643
11.208120281448434,72416.24056289687
9.1367156635468,68273.4313270936
6.999563130057668,63999.126260115336
16.53201324086624,83064.0264817325
11.379211113490324,72758.42222698065
6.576513316589528,63153.026633179055
9.3138770193306,68627.7540386612
8.551649118892932,67103.29823778587
17.687223358194114,85374.44671638822
18.719435294795943,87438.87058959188
16.454408113501664,82908.81622700332
16.131829015796846,82263.65803159369
2.3579918803299518,54715.9837606599
16.601159331106672,83202.31866221334
4.694296664683904,59388.59332936781
7.444344058043879,64888.68811608776
15.773020502193505,81546.041004387
13.215714922576424,76431.42984515284
6.4089154881655555,62817.83097633111
2.016591530076937,54033.183060153875
18.846851045864568,87693.70209172914
6.778602731866184,63557.20546373237
16.543943264585394,83087.88652917079
13.705422667249886,77410.84533449977
1.0519684432638483,52103.9368865277
13.449872296502313,76899.74459300462
13.23656658080679,76473.13316161357
17.292393043841003,84584.786087682
7.848182729937929,65696.36545987586
9.59911675789231,69198.23351578461
14.267894574851248,78535.7891497025
15.210137066806285,80420.27413361258
15.898460054728455,81796.92010945691
8.29671378308971,66593.42756617942
17.83982482913591,85679.64965827181
15.917895350219917,81835.79070043983
6.817911496144381,63635.82299228876
18.89899865197073,87797.99730394146
8.920855879394448,67841.7117587889
9.159237958003265,68318.47591600653
18.289283724161155,86578.56744832231
1.054813449025725,52109.62689805145
7.068388214528788,64136.77642905757
6.052297145772526,62104.59429154505
14.988228143308131,79976.45628661626
1.4638731225553359,52927.74624511067
1.692238167388354,53384.47633477671
